branch,city,customer type,gender,product line,unit price,quantity,tax 5%,total,date,time,payment,cogs,gross margin percentage,gross income,rating
B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197,277.14,2019-03-05,10:40,Ewallet,263.94,4.76,13.2,5.1
B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,2019-03-15,12:20,Credit card,66.4,4.76,3.32,4.4
A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2019-02-17,11:15,Ewallet,172.8,4.76,8.64,9.9
A,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.18,2019-03-02,17:36,Ewallet,265.89,4.76,13.29,6.0
A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.76,2019-03-22,19:20,Credit card,420.72,4.76,21.04,8.5
B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.676,35.2,2019-02-08,15:31,Cash,33.52,4.76,1.68,6.7
A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767,184.11,2019-03-10,12:17,Credit card,175.34,4.76,8.77,7.7
B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,2019-01-25,19:48,Cash,441.8,4.76,22.09,9.6
A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,235.21,2019-03-15,15:36,Cash,224.01,4.76,11.2,7.4
B,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,494.18,2019-02-25,19:39,Credit card,470.65,4.76,23.53,4.8
B,Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,737.76,2019-01-28,12:43,Cash,702.63,4.76,35.13,4.5
B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,703.75,2019-01-10,14:49,Cash,670.24,4.76,33.51,5.1
A,Yangon,Normal,Male,Health and beauty,96.58,2,9.658,202.82,2019-03-15,10:12,Credit card,193.16,4.76,9.66,5.1
C,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,417.56,2019-02-06,10:42,Ewallet,397.68,4.76,19.88,7.5
C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.53,2019-01-07,12:28,Ewallet,68.12,4.76,3.41,6.8
A,Yangon,Member,Male,Sports and travel,62.62,5,15.655,328.76,2019-03-10,19:15,Ewallet,313.1,4.76,15.66,7.0
A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.32,2019-01-15,17:17,Ewallet,547.92,4.76,27.4,4.7
C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.968,461.33,2019-03-23,13:24,Ewallet,439.36,4.76,21.97,7.6
B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.048,253.01,2019-03-03,13:01,Cash,240.96,4.76,12.05,7.7
B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.06,2019-01-17,18:45,Ewallet,86.72,4.76,4.34,7.9
C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.611,117.83,2019-02-02,10:11,Cash,112.22,4.76,5.61,6.3
B,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,435.46,2019-02-08,13:03,Cash,414.72,4.76,20.74,5.6
C,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,2019-03-04,20:39,Cash,789.6,4.76,39.48,7.6
C,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.537,32.28,2019-03-16,19:47,Cash,30.74,4.76,1.54,7.2
B,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,394.63,2019-03-09,18:00,Cash,375.84,4.76,18.79,9.5
B,Mandalay,Member,Male,Health and beauty,56.69,9,25.5105,535.72,2019-02-27,17:24,Credit card,510.21,4.76,25.51,8.4
B,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,189.09,2019-02-06,15:47,Ewallet,180.09,4.76,9.0,4.1
B,Mandalay,Member,Male,Electronic accessories,18.93,6,5.679,119.26,2019-02-10,12:45,Credit card,113.58,4.76,5.68,8.1
C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,867.62,2019-03-19,17:08,Ewallet,826.3,4.76,41.32,7.9
C,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,671.79,2019-02-03,10:19,Cash,639.8,4.76,31.99,9.5
A,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.1,2019-02-10,15:10,Cash,222.95,4.76,11.15,8.5
B,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,75.05,2019-03-22,14:42,Ewallet,71.48,4.76,3.57,6.5
C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.7715,16.2,2019-01-25,15:46,Credit card,15.43,4.76,0.77,6.1
B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.616,33.94,2019-03-07,11:49,Ewallet,32.32,4.76,1.62,6.5
C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.392,722.23,2019-02-28,19:01,Cash,687.84,4.76,34.39,8.2
A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,93.11,2019-03-27,11:26,Cash,88.68,4.76,4.43,5.8
A,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,752.64,2019-02-07,11:28,Ewallet,716.8,4.76,35.84,6.6
A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.68,2019-01-20,15:55,Cash,723.5,4.76,36.17,5.4
C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.183,192.84,2019-03-12,20:36,Cash,183.66,4.76,9.18,9.3
C,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,77.93,2019-02-15,17:47,Credit card,74.22,4.76,3.71,10.0
C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.719,351.1,2019-02-24,10:55,Ewallet,334.38,4.76,16.72,7.0
B,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.41,2019-02-03,13:40,Ewallet,495.63,4.76,24.78,10.0
A,Yangon,Member,Male,Sports and travel,15.81,10,7.905,166.0,2019-03-06,12:27,Credit card,158.1,4.76,7.9,8.6
B,Mandalay,Member,Male,Health and beauty,75.74,4,15.148,318.11,2019-02-14,14:35,Cash,302.96,4.76,15.15,7.6
A,Yangon,Member,Male,Health and beauty,15.87,10,7.935,166.64,2019-03-13,16:40,Cash,158.7,4.76,7.94,5.8
C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.347,70.29,2019-02-10,15:43,Ewallet,66.94,4.76,3.35,6.7
B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.94,2019-01-07,15:01,Ewallet,585.66,4.76,29.28,9.9
A,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,827.08,2019-01-24,10:04,Cash,787.7,4.76,39.38,6.4
A,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.25,2019-02-02,18:50,Cash,18.33,4.76,0.92,4.3
C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,2019-01-06,12:46,Credit card,894.8,4.76,44.74,9.6
C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,2019-02-11,16:19,Cash,621.2,4.76,31.06,5.9
B,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,152.84,2019-03-05,18:17,Ewallet,145.56,4.76,7.28,4.0
C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.773,478.23,2019-03-09,18:21,Cash,455.46,4.76,22.77,8.7
A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.63,2019-01-22,10:55,Ewallet,672.03,4.76,33.6,9.4
C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,437.32,2019-01-13,17:04,Credit card,416.5,4.76,20.82,5.4
C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,463.43,2019-01-09,14:20,Credit card,441.36,4.76,22.07,8.6
A,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.09,2019-01-12,15:48,Credit card,180.09,4.76,9.0,5.7
C,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,822.26,2019-03-05,16:24,Ewallet,783.1,4.76,39.16,6.6
C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.095,107.0,2019-01-22,18:56,Cash,101.9,4.76,5.1,6.0
C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.757,624.9,2019-01-21,14:42,Credit card,595.14,4.76,29.76,5.5
B,Mandalay,Normal,Female,Food and beverages,96.68,3,14.502,304.54,2019-01-26,19:56,Ewallet,290.04,4.76,14.5,6.4
C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,161.7,2019-01-23,18:37,Ewallet,154.0,4.76,7.7,6.6
C,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,337.51,2019-02-23,18:45,Credit card,321.44,4.76,16.07,8.3
C,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,256.78,2019-03-09,10:17,Cash,244.55,4.76,12.23,6.6
C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.071,610.49,2019-03-05,14:31,Ewallet,581.42,4.76,29.07,4.0
C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,2019-03-25,10:23,Cash,382.6,4.76,19.13,9.9
A,Yangon,Member,Male,Food and beverages,49.38,7,17.283,362.94,2019-03-27,20:35,Credit card,345.66,4.76,17.28,7.3
A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.59,2019-01-02,16:57,Cash,42.47,4.76,2.12,5.7
B,Mandalay,Normal,Female,Health and beauty,76.99,6,23.097,485.04,2019-02-27,17:55,Cash,461.94,4.76,23.1,6.1
C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,199.0,2019-01-23,10:25,Cash,189.52,4.76,9.48,7.1
C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,2019-01-26,19:54,Ewallet,448.6,4.76,22.43,8.2
A,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.55,2019-01-10,16:42,Ewallet,153.86,4.76,7.69,5.1
B,Mandalay,Member,Male,Health and beauty,64.36,9,28.962,608.2,2019-03-12,12:09,Credit card,579.24,4.76,28.96,8.6
C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.4875,94.24,2019-02-06,20:05,Credit card,89.75,4.76,4.49,6.6
A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.858,102.02,2019-03-08,20:38,Ewallet,97.16,4.76,4.86,7.2
B,Mandalay,Normal,Male,Health and beauty,87.87,10,43.935,922.64,2019-03-29,10:25,Ewallet,878.7,4.76,43.94,5.1
C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.735,78.44,2019-02-09,13:11,Cash,74.7,4.76,3.74,4.1
A,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,166.16,2019-03-23,10:16,Ewallet,158.25,4.76,7.91,9.3
B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,2019-03-05,18:14,Cash,496.2,4.76,24.81,7.4
C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.4355,51.15,2019-03-26,19:20,Cash,48.71,4.76,2.44,4.1
C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,742.3,2019-03-01,13:22,Cash,706.95,4.76,35.35,7.2
C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,218.01,2019-02-01,11:27,Cash,207.63,4.76,10.38,4.9
A,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,367.04,2019-03-28,16:44,Cash,349.56,4.76,17.48,9.9
B,Mandalay,Normal,Male,Health and beauty,30.35,7,10.6225,223.07,2019-03-19,18:19,Cash,212.45,4.76,10.62,8.0
A,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,931.04,2019-01-12,14:50,Ewallet,886.7,4.76,44.34,7.3
C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.214,172.49,2019-01-05,20:54,Credit card,164.28,4.76,8.21,7.9
A,Yangon,Normal,Male,Sports and travel,62.13,6,18.639,391.42,2019-03-22,20:19,Cash,372.78,4.76,18.64,7.4
C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.291,321.11,2019-03-24,10:43,Cash,305.82,4.76,15.29,4.2
C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.985,860.68,2019-03-03,14:30,Cash,819.7,4.76,40.98,9.2
B,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,34.63,2019-02-05,11:32,Ewallet,32.98,4.76,1.65,4.6
C,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,309.36,2019-02-05,10:41,Credit card,294.63,4.76,14.73,7.8
B,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.494,535.37,2019-02-15,12:44,Cash,509.88,4.76,25.49,8.4
A,Yangon,Member,Male,Home and lifestyle,58.07,9,26.1315,548.76,2019-01-19,20:07,Ewallet,522.63,4.76,26.13,4.3
C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,763.47,2019-02-01,20:31,Credit card,727.11,4.76,36.36,9.5
C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.053,85.11,2019-03-02,13:01,Credit card,81.06,4.76,4.05,7.1
B,Mandalay,Member,Male,Fashion accessories,21.94,5,5.485,115.18,2019-03-05,12:29,Ewallet,109.7,4.76,5.48,5.3
B,Mandalay,Member,Male,Fashion accessories,51.36,1,2.568,53.93,2019-01-16,15:26,Ewallet,51.36,4.76,2.57,5.2
A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2019-02-02,20:48,Ewallet,109.6,4.76,5.48,6.0
B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.344,112.22,2019-01-20,20:38,Ewallet,106.88,4.76,5.34,4.1
A,Yangon,Normal,Female,Electronic accessories,99.56,8,39.824,836.3,2019-02-14,17:03,Credit card,796.48,4.76,39.82,5.2
C,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.992,419.83,2019-01-12,12:02,Credit card,399.84,4.76,19.99,6.5
B,Mandalay,Member,Male,Sports and travel,99.96,9,44.982,944.62,2019-03-09,17:26,Credit card,899.64,4.76,44.98,4.2
C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25.564,536.84,2019-03-13,19:52,Credit card,511.28,4.76,25.56,4.6
B,Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,474.35,2019-03-09,14:57,Ewallet,451.76,4.76,22.59,7.3
A,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.62,2019-03-10,18:44,Credit card,655.83,4.76,32.79,4.5
A,Yangon,Normal,Female,Sports and travel,32.25,5,8.0625,169.31,2019-01-27,13:26,Cash,161.25,4.76,8.06,9.0
C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.2785,299.85,2019-01-08,16:17,Credit card,285.57,4.76,14.28,5.9
C,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,575.74,2019-01-08,15:57,Ewallet,548.32,4.76,27.42,8.5
B,Mandalay,Normal,Female,Sports and travel,90.28,9,40.626,853.15,2019-02-08,11:15,Ewallet,812.52,4.76,40.63,7.2
B,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.867,291.21,2019-01-25,13:18,Cash,277.34,4.76,13.87,7.5
A,Yangon,Member,Female,Sports and travel,92.13,6,27.639,580.42,2019-03-06,20:34,Cash,552.78,4.76,27.64,8.3
B,Mandalay,Normal,Female,Sports and travel,34.84,4,6.968,146.33,2019-02-10,18:36,Cash,139.36,4.76,6.97,7.4
B,Mandalay,Member,Male,Electronic accessories,87.45,6,26.235,550.93,2019-02-17,14:40,Credit card,524.7,4.76,26.24,8.8
C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,512.19,2019-03-08,16:43,Ewallet,487.8,4.76,24.39,5.3
C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13.533,284.19,2019-02-18,19:39,Cash,270.66,4.76,13.53,6.2
A,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,138.13,2019-01-18,20:59,Credit card,131.55,4.76,6.58,8.8
A,Yangon,Member,Female,Home and lifestyle,34.42,6,10.326,216.85,2019-02-18,15:39,Cash,206.52,4.76,10.33,9.8
B,Mandalay,Normal,Male,Sports and travel,51.91,10,25.955,545.05,2019-02-16,12:21,Cash,519.1,4.76,25.96,8.2
A,Yangon,Normal,Male,Sports and travel,72.5,8,29.0,609.0,2019-03-16,19:25,Ewallet,580.0,4.76,29.0,9.2
C,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,942.9,2019-01-23,13:00,Credit card,898.0,4.76,44.9,5.4
C,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,950.25,2019-01-25,13:48,Cash,905.0,4.76,45.25,8.1
C,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,720.3,2019-02-05,19:57,Cash,686.0,4.76,34.3,9.1
C,Naypyitaw,Member,Female,Food and beverages,30.41,1,1.5205,31.93,2019-02-22,10:36,Credit card,30.41,4.76,1.52,8.4
A,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.385,491.08,2019-01-21,16:37,Ewallet,467.7,4.76,23.38,8.0
C,Naypyitaw,Normal,Female,Health and beauty,46.26,6,13.878,291.44,2019-03-08,17:11,Credit card,277.56,4.76,13.88,9.5
A,Yangon,Member,Female,Fashion accessories,30.14,10,15.07,316.47,2019-02-10,12:28,Ewallet,301.4,4.76,15.07,9.2
C,Naypyitaw,Normal,Male,Health and beauty,66.14,4,13.228,277.79,2019-03-19,12:46,Credit card,264.56,4.76,13.23,5.6
B,Mandalay,Member,Male,Home and lifestyle,71.86,8,28.744,603.62,2019-03-06,15:07,Credit card,574.88,4.76,28.74,6.2
A,Yangon,Normal,Male,Health and beauty,32.46,8,12.984,272.66,2019-03-27,13:48,Credit card,259.68,4.76,12.98,4.9
B,Mandalay,Member,Female,Fashion accessories,91.54,4,18.308,384.47,2019-03-23,19:20,Credit card,366.16,4.76,18.31,4.8
C,Naypyitaw,Member,Male,Sports and travel,34.56,7,12.096,254.02,2019-03-11,16:07,Credit card,241.92,4.76,12.1,7.3
A,Yangon,Normal,Male,Fashion accessories,83.24,9,37.458,786.62,2019-01-29,11:56,Credit card,749.16,4.76,37.46,7.4
C,Naypyitaw,Normal,Female,Food and beverages,16.48,6,4.944,103.82,2019-02-07,18:23,Ewallet,98.88,4.76,4.94,9.9
C,Naypyitaw,Normal,Female,Sports and travel,80.97,8,32.388,680.15,2019-01-28,13:05,Cash,647.76,4.76,32.39,9.3
A,Yangon,Member,Male,Food and beverages,92.29,5,23.0725,484.52,2019-02-20,15:55,Credit card,461.45,4.76,23.07,9.0
B,Mandalay,Member,Male,Electronic accessories,72.17,1,3.6085,75.78,2019-01-04,19:40,Cash,72.17,4.76,3.61,6.1
B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,2019-03-07,13:58,Ewallet,251.4,4.76,12.57,9.7
B,Mandalay,Member,Male,Health and beauty,97.22,9,43.749,918.73,2019-03-30,14:43,Ewallet,874.98,4.76,43.75,6.0
B,Mandalay,Normal,Male,Sports and travel,93.39,6,28.017,588.36,2019-03-27,19:18,Ewallet,560.34,4.76,28.02,10.0
C,Naypyitaw,Normal,Female,Food and beverages,43.18,8,17.272,362.71,2019-01-19,19:39,Credit card,345.44,4.76,17.27,8.3
A,Yangon,Normal,Male,Sports and travel,63.69,1,3.1845,66.87,2019-02-25,16:21,Cash,63.69,4.76,3.18,6.0
A,Yangon,Normal,Male,Food and beverages,45.79,7,16.0265,336.56,2019-03-13,19:44,Credit card,320.53,4.76,16.03,7.0
C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,7.64,160.44,2019-01-30,19:42,Ewallet,152.8,4.76,7.64,6.5
B,Mandalay,Normal,Male,Food and beverages,39.9,10,19.95,418.95,2019-02-20,15:24,Credit card,399.0,4.76,19.95,5.9
B,Mandalay,Member,Male,Health and beauty,42.57,8,17.028,357.59,2019-02-25,14:12,Ewallet,340.56,4.76,17.03,5.6
C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,2019-01-16,13:32,Cash,955.8,4.76,47.79,4.8
A,Yangon,Normal,Male,Fashion accessories,98.98,10,49.49,1039.29,2019-02-08,16:20,Credit card,989.8,4.76,49.49,8.7
A,Yangon,Normal,Male,Food and beverages,51.28,6,15.384,323.06,2019-01-19,16:31,Cash,307.68,4.76,15.38,6.5
A,Yangon,Member,Male,Sports and travel,69.52,7,24.332,510.97,2019-02-01,15:10,Credit card,486.64,4.76,24.33,8.5
A,Yangon,Normal,Male,Health and beauty,70.01,5,17.5025,367.55,2019-01-03,11:36,Ewallet,350.05,4.76,17.5,5.5
B,Mandalay,Member,Male,Food and beverages,80.05,5,20.0125,420.26,2019-01-26,12:45,Credit card,400.25,4.76,20.01,9.4
C,Naypyitaw,Normal,Male,Electronic accessories,20.85,8,8.34,175.14,2019-03-03,19:17,Cash,166.8,4.76,8.34,6.3
B,Mandalay,Member,Male,Electronic accessories,52.89,6,15.867,333.21,2019-01-19,17:34,Credit card,317.34,4.76,15.87,9.8
B,Mandalay,Normal,Male,Food and beverages,19.79,8,7.916,166.24,2019-01-18,12:04,Ewallet,158.32,4.76,7.92,8.7
A,Yangon,Member,Male,Home and lifestyle,33.84,9,15.228,319.79,2019-03-21,16:21,Ewallet,304.56,4.76,15.23,8.8
A,Yangon,Member,Male,Food and beverages,22.17,8,8.868,186.23,2019-03-03,17:01,Credit card,177.36,4.76,8.87,9.6
C,Naypyitaw,Normal,Female,Fashion accessories,22.51,7,7.8785,165.45,2019-02-13,10:50,Credit card,157.57,4.76,7.88,4.8
A,Yangon,Normal,Male,Food and beverages,73.88,6,22.164,465.44,2019-03-23,19:16,Ewallet,443.28,4.76,22.16,4.4
C,Naypyitaw,Member,Male,Health and beauty,86.8,3,13.02,273.42,2019-01-28,16:47,Ewallet,260.4,4.76,13.02,9.9
C,Naypyitaw,Normal,Male,Fashion accessories,64.26,7,22.491,472.31,2019-02-09,10:00,Cash,449.82,4.76,22.49,5.7
C,Naypyitaw,Member,Male,Food and beverages,38.47,8,15.388,323.15,2019-01-23,11:51,Cash,307.76,4.76,15.39,7.7
A,Yangon,Member,Male,Sports and travel,15.5,10,7.75,162.75,2019-03-23,10:55,Ewallet,155.0,4.76,7.75,8.0
C,Naypyitaw,Normal,Male,Health and beauty,34.31,8,13.724,288.2,2019-01-25,15:00,Ewallet,274.48,4.76,13.72,5.7
A,Yangon,Normal,Female,Sports and travel,12.34,7,4.319,90.7,2019-03-04,11:19,Credit card,86.38,4.76,4.32,6.7
B,Mandalay,Member,Male,Food and beverages,18.08,3,2.712,56.95,2019-03-05,19:46,Ewallet,54.24,4.76,2.71,8.0
B,Mandalay,Member,Female,Home and lifestyle,94.49,8,37.796,793.72,2019-03-03,19:00,Ewallet,755.92,4.76,37.8,7.5
B,Mandalay,Member,Male,Home and lifestyle,46.47,4,9.294,195.17,2019-02-08,10:53,Cash,185.88,4.76,9.29,7.0
A,Yangon,Normal,Male,Home and lifestyle,74.07,1,3.7035,77.77,2019-02-10,12:50,Ewallet,74.07,4.76,3.7,9.9
C,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4,13.962,293.2,2019-01-28,20:50,Credit card,279.24,4.76,13.96,5.9
B,Mandalay,Normal,Female,Home and lifestyle,77.04,3,11.556,242.68,2019-02-11,10:39,Credit card,231.12,4.76,11.56,7.2
B,Mandalay,Normal,Female,Fashion accessories,73.52,2,7.352,154.39,2019-01-15,13:41,Ewallet,147.04,4.76,7.35,4.6
C,Naypyitaw,Normal,Female,Food and beverages,87.8,9,39.51,829.71,2019-03-16,19:08,Cash,790.2,4.76,39.51,9.2
B,Mandalay,Normal,Male,Home and lifestyle,25.55,4,5.11,107.31,2019-01-26,20:23,Ewallet,102.2,4.76,5.11,5.7
A,Yangon,Normal,Male,Electronic accessories,32.71,5,8.1775,171.73,2019-03-19,11:30,Credit card,163.55,4.76,8.18,9.9
C,Naypyitaw,Member,Female,Fashion accessories,74.29,1,3.7145,78.0,2019-01-13,19:30,Cash,74.29,4.76,3.71,5.0
C,Naypyitaw,Member,Male,Health and beauty,43.7,2,4.37,91.77,2019-03-26,18:03,Cash,87.4,4.76,4.37,4.9
A,Yangon,Normal,Female,Home and lifestyle,25.29,1,1.2645,26.55,2019-03-23,10:13,Ewallet,25.29,4.76,1.26,6.1
C,Naypyitaw,Normal,Male,Health and beauty,41.5,4,8.3,174.3,2019-03-12,19:58,Credit card,166.0,4.76,8.3,8.2
C,Naypyitaw,Member,Female,Food and beverages,71.39,5,17.8475,374.8,2019-02-17,19:57,Credit card,356.95,4.76,17.85,5.5
C,Naypyitaw,Member,Female,Sports and travel,19.15,6,5.745,120.64,2019-01-29,10:01,Credit card,114.9,4.76,5.74,6.8
